ProductID,ProductName,ProductCategory,Supplier,UnitCost,RetailPrice,ReorderLevel,StockQuantity,SupplierRating
PROD-001,Smartphone Pro 1,Electronics,TechGadget Inc.,419.99,699.99,25,156,4.8
PROD-002,Office Chair Elite 2,Furniture,HomeStyle Co.,89.99,149.99,15,78,4.2
PROD-003,Winter Jacket Premium 3,Clothing,FashionCo Ltd.,47.99,79.99,30,234,4.7
PROD-004,Wireless Headphones Deluxe 4,Electronics,TechGadget Inc.,53.99,89.99,20,189,4.5
PROD-005,Running Shoes Standard 5,Sports,SportLife Corp.,35.99,59.99,35,167,4.4
PROD-006,Desk Lamp Basic 6,Home Goods,HomeStyle Co.,20.99,34.99,40,145,4.1
PROD-007,Coffee Maker Advanced 7,Home Goods,KitchenPro Ltd.,29.99,49.99,20,198,4.6
PROD-008,Yoga Mat Ultra 8,Sports,SportLife Corp.,14.99,24.99,50,223,4.3
PROD-009,Bluetooth Speaker Max 9,Electronics,TechGadget Inc.,23.99,39.99,30,176,4.0
PROD-010,Backpack Lite 10,Clothing,FashionCo Ltd.,26.99,44.99,25,134,4.5
PROD-011,Monitor Pro 11,Electronics,TechGadget Inc.,119.99,199.99,15,89,4.7
PROD-012,Bookshelf Elite 12,Furniture,HomeStyle Co.,53.99,89.99,20,112,4.2
PROD-013,T-Shirt Premium 13,Clothing,FashionCo Ltd.,11.99,19.99,100,456,4.4
PROD-014,Basketball Deluxe 14,Sports,SportLife Corp.,17.99,29.99,40,167,4.6
PROD-015,Kitchen Set Standard 15,Home Goods,KitchenPro Ltd.,47.99,79.99,15,98,4.8
PROD-016,Laptop Basic 16,Electronics,Global Supplies,539.99,899.99,10,45,4.3
PROD-017,Dining Table Advanced 17,Furniture,OfficeWorks,179.99,299.99,8,34,4.1
PROD-018,Jeans Ultra 18,Clothing,Premium Brands,41.99,69.99,40,278,4.5
PROD-019,Football Max 19,Sports,Fitness First,23.99,39.99,35,156,4.2
PROD-020,Vase Lite 20,Home Goods,Quality Goods Co.,17.99,29.99,50,234,4.4
PROD-021,Novel Pro 21,Books,BookWorld,8.99,14.99,80,345,4.7
PROD-022,Lipstick Elite 22,Beauty,Cosmetics Central,11.99,19.99,60,289,4.5
PROD-023,Action Figure Premium 23,Toys,Toy World,14.99,24.99,45,198,4.3
PROD-024,Tire Deluxe 24,Automotive,AutoParts Direct,71.99,119.99,20,112,4.6
PROD-025,Necklace Standard 25,Jewelry,Jewelry Masters,29.99,49.99,30,145,4.8
PROD-026,Vitamins Basic 26,Health,HealthPlus,17.99,29.99,50,267,4.4
PROD-027,Cereal Advanced 27,Grocery,Grocery Giant,4.49,7.49,100,567,4.2
PROD-028,Notebook Ultra 28,Office Supplies,OfficeWorks,5.99,9.99,80,345,4.5
PROD-029,Dog Food Max 29,Pet Supplies,Pet Paradise,23.99,39.99,40,234,4.6
PROD-030,Diapers Lite 30,Baby Products,Baby Care Co.,35.99,59.99,60,189,4.7
PROD-031,Hammer Pro 31,Tools,Tool Time,11.99,19.99,50,278,4.3
PROD-032,Guitar Elite 32,Music,Music World,119.99,199.99,15,67,4.8
PROD-033,DVD Premium 33,Movies,Movie Mania,8.99,14.99,70,312,4.4
PROD-034,Game Console Deluxe 34,Video Games,Game Zone,299.99,499.99,8,23,4.9
PROD-035,Software Standard 35,Software,Software Solutions,41.99,69.99,25,156,4.5
PROD-036,Refrigerator Basic 36,Appliances,Appliance Pro,359.99,599.99,5,18,4.7
PROD-037,Tent Advanced 37,Outdoor,Outdoor Living,89.99,149.99,12,45,4.4
PROD-038,Shovel Ultra 38,Gardening,Garden Glory,17.99,29.99,40,167,4.2
PROD-039,Dumbbell Set Max 39,Fitness,Fitness First,71.99,119.99,20,89,4.6
PROD-040,Paint Set Lite 40,Art Supplies,Artistic Creations,23.99,39.99,30,178,4.5
PROD-041,Yarn Pro 41,Craft Materials,Craft Corner,8.99,14.99,60,234,4.3
PROD-042,Balloons Elite 42,Party Supplies,Party Time,5.99,9.99,80,456,4.4
PROD-043,Wire Premium 43,Electrical,Electrical Experts,11.99,19.99,50,189,4.6
PROD-044,Pipe Fitting Deluxe 44,Plumbing,Plumbing Pros,8.99,14.99,70,267,4.3
PROD-045,Nails Standard 45,Hardware,Hardware Hub,4.49,7.49,100,678,4.2
PROD-046,Pen Set Basic 46,Stationery,Stationery Store,11.99,19.99,60,345,4.5
PROD-047,Watch Advanced 47,Watches,Watch World,89.99,149.99,25,112,4.8
PROD-048,Sneakers Ultra 48,Shoes,Shoe Palace,53.99,89.99,35,234,4.6
PROD-049,Handbag Max 49,Bags,Bag Boutique,71.99,119.99,20,98,4.7
PROD-050,Sunglasses Lite 50,Accessories,Accessory Alley,29.99,49.99,40,167,4.4
PROD-051,Foundation Pro 51,Cosmetics,Cosmetics Central,23.99,39.99,45,189,4.5
PROD-052,Perfume Elite 52,Fragrances,Fragrance Factory,35.99,59.99,30,134,4.8
PROD-053,Blender Premium 53,Kitchenware,Kitchen King,41.99,69.99,25,156,4.6
PROD-054,Comforter Deluxe 54,Bedding,Bedding Boutique,53.99,89.99,20,112,4.4
PROD-055,Towel Set Standard 55,Bath,Bath Essentials,17.99,29.99,50,278,4.5
PROD-056,Chandelier Basic 56,Lighting,Lighting Luxe,89.99,149.99,15,67,4.7
PROD-057,Wall Art Advanced 57,Decor,Decor Dreams,35.99,59.99,25,145,4.3
PROD-058,Pasta Ultra 58,Food,Food Market,3.59,5.99,120,789,4.2
PROD-059,Juice Max 59,Beverages,Beverage Barn,4.49,7.49,90,456,4.4
PROD-060,Chips Lite 60,Snacks,Snack Attack,2.69,4.49,150,567,4.3
PROD-061,Cleaner Pro 61,Cleaning Supplies,Clean Pro,8.99,14.99,60,234,4.5
PROD-062,Shampoo Elite 62,Personal Care,Personal Care Plus,11.99,19.99,70,345,4.6
PROD-063,Bandages Premium 63,Medical Supplies,Medical Supplies,5.99,9.99,80,456,4.4
